Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520297616175341812    0.000000    0.000000    0.000000
1    1    1520297616176763647    1406.632978    703.316467    703.316489
2    2    1520297616180278185    607.733654    405.155762    284.532419
3    3    1520297616185651061    388.001105    291.000824    186.120059
4    4    1520297616186936920    431.216337    344.973083    777.690244
5    5    1520297616188200038    466.627356    388.856110    791.691671
6    6    1520297616189502489    494.326648    423.708557    767.783203
7    7    1520297616195783698    391.353322    342.434143    159.205019
8    8    1520297616197078621    414.044214    368.039307    772.246690
9    9    1520297616198337912    434.856345    391.370697    794.097631
10    10    1520297616199600623    453.443493    412.221375    791.946851
11    11    1520297616205927817    392.336299    342.886505    158.047944
12    12    1520297616209041133    385.764449    347.669525    321.200932
13    13    1520297616210430548    398.988439    403.559601    719.727367
14    14    1520297616215904166    369.801023    345.217499    182.694518
15    15    1520297616217187159    382.360314    344.980804    779.427479
16    16    1520297616218440219    394.446133    345.569611    798.046382
17    17    1520297616219692778    405.853618    418.251129    798.365586
18    18    1520297616226060554    374.614970    345.042542    157.040700
19    19    1520297616227318171    384.790324    345.062469    795.154646
20    20    1520297616228563124    394.578773    345.274048    803.243175
21    21    1520297616234861609    369.624917    345.616638    158.768339
22    22    1520297616237995557    367.096971    345.370361    319.086341
23    23    1520297616239300205    375.243950    346.384430    766.490272
24    24    1520297616240655978    382.765356    404.010803    737.586602
25    25    1520297616246244791    366.698274    344.143646    178.928871
26    26    1520297616247487857    374.240889    344.262085    804.462514
27    27    1520297616248754063    381.407730    344.100403    789.760908
28    28    1520297616255049701    363.828479    344.956665    158.840137
29    29    1520297616256315958    370.488625    344.853882    789.729099
30    30    1520297616257609909    376.816787    344.272186    772.826792
31    31    1520297616258871378    383.097884    416.497131    792.726575
32    32    1520297616266523515    361.914714    350.533325    130.682449
33    33    1520297616267785049    367.793265    351.063873    792.685730
34    34    1520297616269057262    373.470970    352.096741    786.031899
35    35    1520297616275009097    361.201772    347.653107    168.015410
36    36    1520297616276282342    366.552464    347.288727    785.394798
37    37    1520297616277558935    371.757675    347.163483    783.335018
38    38    1520297616278833947    376.840230    420.446381    784.306344
39    39    1520297616285152168    364.264369    346.786224    158.272400
40    40    1520297616286496523    368.855262    346.181091    743.851141
41    41    1520297616287751952    373.631774    346.253479    796.540465
42    42    1520297616295318470    358.403049    347.283051    132.161187
43    43    1520297616296591553    362.887373    347.143799    785.494740
44    44    1520297616297879641    367.233534    346.952606    776.344473
45    45    1520297616299168619    371.486604    413.915466    775.808431
46    46    1520297616305488319    361.131475    342.395660    158.235359
47    47    1520297616306745861    365.285548    342.619171    795.202069
48    48    1520297616308017241    369.322341    342.661774    786.546902
49    49    1520297616309335303    373.152454    413.511322    758.689652
50    50    1520297616315639141    363.513692    343.140076    158.633518
51    51    1520297616316919846    367.288615    342.842712    780.819939
52    52    1520297616320110617    366.100970    403.353516    313.403876
53    53    1520297616325615762    359.343719    344.539948    181.648258
54    54    1520297616326905201    362.884469    344.523926    775.531064
55    55    1520297616328147697    366.478032    345.076538    804.831565
56    56    1520297616329414416    369.955453    417.953674    789.441068
57    57    1520297616335723571    361.637136    345.092834    158.499831
58    58    1520297616336992014    364.985625    345.127808    788.368102
59    59    1520297616338264713    368.272352    345.669006    785.731740
60    60    1520297616339512369    371.564799    418.879272    801.502978
61    61    1520297616345814191    363.695282    346.088470    158.684266
62    62    1520297616348959281    362.866711    346.636505    317.955925
63    63    1520297616350387965    365.617861    403.678284    699.944844
64    64    1520297616355922542    359.949813    344.621521    180.682282
65    65    1520297616357213595    362.893017    344.045807    774.561540
66    66    1520297616358476342    365.851268    344.092834    791.924273
67    67    1520297616359725676    368.795829    416.630127    800.426467
68    68    1520297616366056795    361.796430    344.059021    157.949961
69    69    1520297616367321846    364.621250    344.149567    790.481965
70    70    1520297616368640495    367.307210    343.310791    758.351919
71    71    1520297616374974294    360.662750    342.934326    157.883128
72    72    1520297616378093039    360.047143    343.244415    320.641797
