Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520297612336977998    0.000000    0.000000    0.000000
1    1    1520297612338692908    1166.241960    583.120972    583.120980
2    2    1520297612351017337    213.685274    142.456848    81.139662
3    3    1520297612352489158    257.878843    193.409134    679.430447
4    4    1520297612353928841    294.970581    235.976456    694.597352
5    5    1520297612355382544    326.006412    271.671997    687.898422
6    6    1520297612356840565    352.421719    302.075775    685.861178
7    7    1520297612358273218    375.671160    328.712280    698.005728
8    8    1520297612369755713    274.576797    244.068253    87.089086
9    9    1520297612371194443    292.257130    263.031403    695.057446
10    10    1520297612372659072    308.286684    280.260620    682.766762
11    11    1520297612374097519    323.280034    282.449097    695.194192
12    12    1520297612386162894    264.308783    284.530975    82.881800
13    13    1520297612387678373    276.132080    284.177979    659.857378
14    14    1520297612389139049    287.570893    284.008545    684.614521
15    15    1520297612390576752    298.514402    284.137665    695.553950
16    16    1520297612392032418    308.785380    284.156677    686.970775
17    17    1520297612393469815    318.630219    284.118378    695.702022
18    18    1520297612404969498    279.446696    283.979706    86.958919
19    19    1520297612406397246    288.104533    284.068298    700.403713
20    20    1520297612407841698    296.343544    284.231201    692.304071
21    21    1520297612409327628    304.078957    283.848114    672.979212
22    22    1520297612420260935    276.167014    293.272003    91.463635
23    23    1520297612421750476    283.110752    293.495239    671.347751
24    24    1520297612423181678    290.010821    293.749329    698.713389
25    25    1520297612424639659    296.594882    293.574463    685.879994
26    26    1520297612426066904    303.068039    293.819641    700.650554
27    27    1520297612427529296    309.216992    293.604004    683.811181
28    28    1520297612438992761    284.272581    293.916565    87.233659
29    29    1520297612440448717    289.937098    293.673065    686.833943
30    30    1520297612441901980    295.451997    293.597107    688.106695
31    31    1520297612443353212    300.821957    293.896484    689.069701
32    32    1520297612454854061    279.955058    289.074768    86.950103
33    33    1520297612456310808    284.917451    289.349060    686.460998
34    34    1520297612457747232    289.808909    289.305359    696.173275
35    35    1520297612459177141    294.601084    289.540497    699.345203
36    36    1520297612460629523    299.228012    289.329926    688.524094
37    37    1520297612462063764    303.791560    289.565765    697.232892
38    38    1520297612473556011    285.551086    289.324646    87.015185
39    39    1520297612474989897    289.830082    289.509521    697.405512
40    40    1520297612476545276    293.765133    288.656158    642.930115
41    41    1520297612477978585    297.871100    288.805573    697.686263
42    42    1520297612488989456    282.873413    292.951050    90.819337
43    43    1520297612490434288    286.726598    293.053345    692.121991
44    44    1520297612491894638    290.478802    292.848022    684.767350
45    45    1520297612493376155    294.121113    292.406097    674.983817
46    46    1520297612494829009    297.749122    292.402069    688.300407
47    47    1520297612496281525    301.311596    292.245911    688.460575
48    48    1520297612507748805    286.934288    292.459259    87.204638
49    49    1520297612509232656    290.267913    292.032532    673.922112
50    50    1520297612510720316    293.538158    292.611206    672.196604
51    51    1520297612512171634    296.814435    292.457092    689.028869
52    52    1520297612524092583    283.248898    284.874908    83.885939
53    53    1520297612525531169    286.391365    284.925598    695.127021
54    54    1520297612526985651    289.462025    284.973267    687.529993
55    55    1520297612528436014    292.492324    285.226471    689.482564
56    56    1520297612529869945    295.502227    285.380524    697.383626
57    57    1520297612531383651    298.345234    284.883026    660.630268
58    58    1520297612542844167    286.593957    284.937927    87.256106
59    59    1520297612544292838    289.414882    285.223846    690.287857
60    60    1520297612545734171    292.206928    285.601227    693.802196
61    61    1520297612547161578    294.980226    285.796387    700.571035
62    62    1520297612561017477    281.200440    270.820007    72.171427
63    63    1520297612562505450    283.779200    270.458282    672.055205
64    64    1520297612563960963    286.365102    270.450714    687.042988
65    65    1520297612565396002    288.943949    270.562866    696.845173
66    66    1520297612566833929    291.486931    270.533600    695.445596
67    67    1520297612568304983    293.956194    270.846130    679.784699
68    68    1520297612579766294    284.198214    270.840302    87.250054
69    69    1520297612581205961    286.617466    270.906372    694.605072
70    70    1520297612582716074    288.925514    270.402527    662.202100
71    71    1520297612584167346    291.274687    270.228149    689.050709
72    72    1520297612596121906    281.696763    284.864319    83.650088
73    73    1520297612597568151    283.970822    285.203369    691.445779
74    74    1520297612599000914    286.234506    285.388550    697.952139
75    75    1520297612600562987    288.332049    284.357605    640.174947
76    76    1520297612601995653    290.546681    284.400146    697.999394
77    77    1520297612603503732    292.654667    284.100983    663.095236
78    78    1520297612614974968    284.175759    284.020905    87.174564
79    79    1520297612616423160    286.281571    283.952148    690.516175
80    80    1520297612617847020    288.390651    284.649323    702.316239
81    81    1520297612619347035    290.400112    284.254913    666.660000
82    82    1520297612632974988    280.408257    271.347717    73.378592
83    83    1520297612634412668    282.414959    271.410797    695.565077
84    84    1520297612635862961    284.390353    271.281738    689.515843
85    85    1520297612637295360    286.363730    272.239441    698.129502
86    86    1520297612638761952    288.285705    271.988220    681.852894
87    87    1520297612640210808    290.206063    272.427032    690.199716
88    88    1520297612651721753    282.769709    272.132660    86.873841
89    89    1520297612653157144    284.648754    272.227478    696.674286
90    90    1520297612654641454    286.466694    271.780243    673.713712
91    91    1520297612656089731    288.300274    272.162933    690.475648
92    92    1520297612669108525    280.010395    276.751190    76.812030
93    93    1520297612670593869    281.761176    276.386627    673.244716
94    94    1520297612672063930    283.509366    276.235687    680.243881
95    95    1520297612673499643    285.271398    276.210419    696.518037
96    96    1520297612674977508    286.982665    276.124451    676.651792
97    97    1520297612676425835    288.704152    276.128479    690.451811
98    98    1520297612687890090    282.121940    276.484924    87.227648
99    99    1520297612689375809    283.770208    276.100739    673.074787
100    100    1520297612690817705    285.439983    276.424438    693.531295
101    101    1520297612692271407    287.086665    276.382996    687.898895
102    102    1520297612704170356    280.506927    285.210449    84.041036
103    103    1520297612705656225    282.088804    285.206177    673.006840
104    104    1520297612707140096    283.659512    285.093872    673.913029
105    105    1520297612708589154    285.244397    284.985443    690.103502
106    106    1520297612710027342    286.825327    285.308044    695.319388
107    107    1520297612711520117    288.352083    284.946686    669.893319
108    108    1520297612723039224    282.338636    284.502014    86.812285
109    109    1520297612724489707    283.862390    284.787537    689.425522
110    110    1520297612725942286    285.373242    284.700928    688.430715
111    111    1520297612727386721    286.878836    284.776031    692.312219
112    112    1520297612739383484    280.811281    283.984985    83.355819
113    113    1520297612740825582    282.284715    284.338440    693.434149
114    114    1520297612742254359    283.756989    284.784576    699.899284
115    115    1520297612743709459    285.200461    284.735565    687.237991
116    116    1520297612745145525    286.647007    284.752777    696.346825
117    117    1520297612746575201    288.087905    285.265320    699.459178
118    118    1520297612758072643    282.596802    285.441742    86.975868
119    119    1520297612759524601    283.992343    285.429718    688.725156
120    120    1520297612760961949    285.388161    285.553864    695.725739
121    121    1520297612762395011    286.777435    285.646637    697.806515
122    122    1520297612774366041    281.214820    285.856750    83.535001
123    123    1520297612775873623    282.527309    285.322662    663.313836
124    124    1520297612777358727    283.845300    284.864838    673.353516
125    125    1520297612778845284    285.153493    284.609802    672.695363
126    126    1520297612780316316    286.462945    284.326843    679.794865
127    127    1520297612781807443    287.750736    283.830933    670.633688
128    128    1520297612793256773    282.721895    284.219055    87.341355
129    129    1520297612794678679    284.028417    284.462036    703.281370
130    130    1520297612796126156    285.310956    284.380066    690.857264
131    131    1520297612797558042    286.595135    284.389587    698.379620
132    132    1520297612809206590    281.643260    287.021881    85.847610
133    133    1520297612810646057    282.898535    287.584106    694.701581
134    134    1520297612812117154    284.127288    287.700012    679.764829
135    135    1520297612813549063    285.371920    288.153046    698.368402
136    136    1520297612815034578    286.576957    288.032837    673.167218
137    137    1520297612816484333    287.795989    288.376495    689.771720
138    138    1520297612827939217    283.118085    288.330292    87.299007
139    139    1520297612829431352    284.290885    287.747650    670.180647
140    140    1520297612830927948    285.454022    287.341522    668.182997
141    141    1520297612832377683    286.637243    287.194244    689.781236
142    142    1520297612845746604    281.070802    273.672577    74.800352
143    143    1520297612847184132    282.238865    273.687103    695.638624
144    144    1520297612848650444    283.384421    273.722961    681.983098
145    145    1520297612850088882    284.538887    273.674042    695.198542
146    146    1520297612851537136    285.681449    273.953400    690.486614
147    147    1520297612852966025    286.828361    274.110077    699.844425
148    148    1520297612864478096    282.464402    273.681091    86.865343
149    149    1520297612865910132    283.590257    274.131989    698.306467
150    150    1520297612867429537    284.663139    273.960663    658.152369
151    151    1520297612868860074    285.777632    274.104858    699.038193
152    152    1520297612879810375    281.854964    293.567047    91.321691
153    153    1520297612881245161    282.949277    293.590637    696.968050
154    154    1520297612882675623    284.040085    293.899994    699.074844
155    155    1520297612884173498    285.090064    293.387512    667.612451
156    156    1520297612885653467    286.143648    293.114777    675.689829
157    157    1520297612887103450    287.207217    292.933624    689.663258
158    158    1520297612898645510    283.085627    292.676514    86.639647
159    159    1520297612900096166    284.132193    292.517120    689.343304
160    160    1520297612901538311    285.177680    293.179688    693.411550
161    161    1520297612902972091    286.222068    293.151825    697.457072
162    162    1520297612914920912    282.034775    284.814789    83.690265
163    163    1520297612916380204    283.050355    284.616150    685.263813
164    164    1520297612917817581    284.071549    284.560120    695.711703
165    165    1520297612919251328    285.089479    285.080353    697.473125
166    166    1520297612920731934    286.079442    285.075165    675.399127
167    167    1520297612922165884    287.087283    285.205505    697.374385
168    168    1520297612933646989    283.239120    285.702209    87.099630
169    169    1520297612935079537    284.232674    285.850098    698.056889
170    170    1520297612936542507    285.207008    285.680054    683.541016
171    171    1520297612937991830    286.183097    285.553223    689.977320
172    172    1520297612949163195    282.594223    292.036621    89.514576
173    173    1520297612950631038    283.547850    291.963684    681.271771
174    174    1520297612952088797    284.501589    291.790070    685.984446
175    175    1520297612953527836    285.459486    291.744995    694.908199
176    176    1520297612955008146    286.393796    291.747528    675.534179
177    177    1520297612956524168    287.307078    291.050629    659.621035
178    178    1520297612967980116    283.675751    291.263885    87.290899
179    179    1520297612969418692    284.611667    291.212769    695.131853
180    180    1520297612970915393    285.517153    290.927002    668.136121
181    181    1520297612972391684    286.427573    290.698914    677.373228
182    182    1520297612984968829    282.411403    279.285645    79.509300
183    183    1520297612986399214    283.329210    279.578156    699.112477
184    184    1520297612987851811    284.233282    279.618469    688.422185
185    185    1520297612989284682    285.141950    279.666718    697.899532
186    186    1520297612990719454    286.045803    280.023346    696.974850
187    187    1520297612992169464    286.939024    280.541931    689.650416
188    188    1520297613003625771    283.508035    280.539093    87.288164
189    189    1520297613005081453    284.387094    280.404541    686.963224
190    190    1520297613006514700    285.271889    280.904327    697.716444
191    191    1520297613008025545    286.119815    280.631958    661.881265
192    192    1520297613021072910    282.124595    276.977020    76.643828
193    193    1520297613022508953    282.992327    276.933594    696.357978
194    194    1520297613023965230    283.848070    276.905365    686.682547
195    195    1520297613025400728    284.708786    276.885254    696.622357
196    196    1520297613026837309    285.565472    276.871368    696.097192
197    197    1520297613028306102    286.405252    276.727448    680.831131
198    198    1520297613039821779    283.135464    276.273560    86.838142
199    199    1520297613041308199    283.957723    276.039154    672.757363
200    200    1520297613042794086    284.776734    275.638641    672.998687
201    201    1520297613044252145    285.603540    276.040253    685.843303
202    202    1520297613055205136    282.640392    292.978271    91.299262
203    203    1520297613056671100    283.454155    292.721649    682.144991
204    204    1520297613058103023    284.278028    292.930481    698.361574
205    205    1520297613059577672    285.081778    292.594910    678.127473
206    206    1520297613061016252    285.896496    292.577820    695.129920
207    207    1520297613062500416    286.689970    292.446259    673.779987
208    208    1520297613073992990    283.576321    292.644012    87.012709
209    209    1520297613075530816    284.339853    292.204407    650.268626
210    210    1520297613076977514    285.135322    292.539429    691.229268
211    211    1520297613078459459    285.914094    292.335144    674.788875
212    212    1520297613089501100    283.047789    291.579498    90.566248
213    213    1520297613090960313    283.826286    291.636902    685.300912
214    214    1520297613092472189    284.581937    290.958466    661.429906
215    215    1520297613093970298    285.339758    290.760010    667.508172
216    216    1520297613095421510    286.112277    290.653259    689.079197
217    217    1520297613096862568    286.885678    291.017853    693.934595
218    218    1520297613108328509    283.917618    291.243591    87.214822
219    219    1520297613109771864    284.681349    292.047150    692.830246
220    220    1520297613111234606    285.435084    291.910339    683.647561
221    221    1520297613112690353    286.188558    292.133759    686.932551
222    222    1520297613124983404    282.992982    281.830627    81.346771
223    223    1520297613126415328    283.746399    282.047546    698.361086
224    224    1520297613127872469    284.488017    282.483643    686.275384
225    225    1520297613129311622    285.233383    282.954865    694.853153
226    226    1520297613130758950    285.973101    282.985992    690.928387
227    227    1520297613132215945    286.706640    282.858398    686.344154
228    228    1520297613143706471    283.862548    282.661835    87.028218
229    229    1520297613145147594    284.593730    282.679688    693.903296
230    230    1520297613146587013    285.322910    282.866180    694.724747
231    231    1520297613148084103    286.029163    282.535767    667.962514
232    232    1520297613161023132    282.751503    277.471588    77.285552
233    233    1520297613162458112    283.471396    277.448029    696.873824
