Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520297991852567495    0.000000    0.000000    0.000000
1    1    1520297991854815067    889.849135    444.924561    444.924567
2    2    1520297991864611628    249.083932    166.055954    102.076637
3    3    1520297991866533716    286.405320    214.803986    520.267542
4    4    1520297991871611475    262.550160    210.040131    196.937271
5    5    1520297991873523870    286.309059    238.590881    522.904525
6    6    1520297991880484817    250.740383    214.920334    143.658614
7    7    1520297991882431599    267.880128    234.395111    513.668197
8    8    1520297991884327588    283.374485    251.888443    527.429220
9    9    1520297991891264230    258.419735    232.577774    144.161973
10    10    1520297991893187635    270.801627    246.183304    519.911303
11    11    1520297991900113301    252.388192    220.759155    144.390446
12    12    1520297991904371138    250.947602    251.512161    234.861034
13    13    1520297991906357053    260.273565    251.109039    503.546224
14    14    1520297991911682415    253.743048    249.557404    187.780662
15    15    1520297991913593821    262.181931    249.563568    523.175087
16    16    1520297991920526344    250.151382    249.740723    144.247628
17    17    1520297991922456598    257.550880    249.843842    518.066534
18    18    1520297991924403133    264.492674    249.528732    513.733378
19    19    1520297991931313861    253.979974    249.690201    144.702555
20    20    1520297991933211878    260.402513    249.848572    526.865671
21    21    1520297991940194362    251.064551    249.494400    143.215509
22    22    1520297991944532897    250.094052    248.993073    230.492551
23    23    1520297991946525290    255.433836    248.952927    501.909011
24    24    1520297991951720803    252.134805    249.760315    192.473775
25    25    1520297991953657209    257.197285    249.604462    516.420627
26    26    1520297991960572466    249.988494    249.712067    144.607785
27    27    1520297991962514864    254.667304    249.636368    514.827548
28    28    1520297991964396228    259.325124    250.043167    531.529252
29    29    1520297991971322705    252.620496    249.944733    144.373539
30    30    1520297991973255404    256.860859    249.728271    517.411144
31    31    1520297991980151584    250.814974    250.267639    145.007816
32    32    1520297991984515062    250.099344    250.111511    229.174984
33    33    1520297991986456035    253.942570    250.433594    515.205518
34    34    1520297991991671628    251.610065    250.307724    191.732752
35    35    1520297991993596592    255.266472    250.379440    519.490235
36    36    1520297992000523099    250.075016    250.308929    144.372914
37    37    1520297992002433371    253.560057    250.510361    523.485661
38    38    1520297992004338860    256.965469    250.359055    524.799671
39    39    1520297992011249186    252.076971    250.460342    144.710973
40    40    1520297992013273048    255.124974    249.889771    494.104835
41    41    1520297992020189571    250.563655    249.762802    144.581316
42    42    1520297992024512827    250.079485    250.013977    231.307144
43    43    1520297992026443802    253.053454    250.076477    517.873095
44    44    1520297992031611142    251.335363    250.378601    193.523167
45    45    1520297992033579948    254.126162    250.104080    507.922060
46    46    1520297992040536775    250.040858    249.914566    143.743692
47    47    1520297992042457168    252.778359    249.851349    520.726747
48    48    1520297992044343024    255.507052    249.973969    530.263180
49    49    1520297992051338213    251.546105    249.444809    142.955394
50    50    1520297992053305137    254.062962    249.799591    508.408052
51    51    1520297992060235211    250.400019    249.715073    144.298603
52    52    1520297992064520933    250.054920    249.949356    233.332913
53    53    1520297992066426331    252.503011    250.109238    524.824735
54    54    1520297992071698524    250.991383    249.455048    189.674392
55    55    1520297992073588443    253.369649    249.946915    529.123206
56    56    1520297992080485526    250.089911    250.320724    144.988831
57    57    1520297992082460999    252.290730    249.976059    506.207880
58    58    1520297992084345079    254.554383    249.987152    530.763025
59    59    1520297992091283552    251.344634    250.342087    144.123930
60    60    1520297992093184924    253.514470    250.753586    525.936008
61    61    1520297992100108701    250.463351    250.793198    144.429839
62    62    1520297992104419574    250.146833    250.635117    231.971575
63    63    1520297992106403560    252.131233    250.142395    504.035815
64    64    1520297992111680402    250.855894    250.113312    189.507285
65    65    1520297992113593672    252.848204    249.967316    522.665384
66    66    1520297992120533041    250.032144    249.703384    144.105321
67    67    1520297992122463232    251.949144    249.986053    518.083444
68    68    1520297992124349286    253.880143    249.973709    530.207513
69    69    1520297992131281149    251.153824    250.015015    144.261362
70    70    1520297992133298516    252.911131    249.292053    495.695627
71    71    1520297992140221768    250.300471    249.295319    144.440792
72    72    1520297992144475946    250.078406    249.648163    235.063037
73    73    1520297992146392953    251.850199    250.066315    521.646504
74    74    1520297992151651835    250.765386    250.178680    190.154485
75    75    1520297992153681283    252.396280    249.453629    492.744825
76    76    1520297992160619386    249.957888    249.461502    144.131616
77    77    1520297992162600327    251.586258    249.146088    504.810593
78    78    1520297992164508882    253.252705    249.006500    523.956606
79    79    1520297992171435595    250.887436    249.038437    144.368620
80    80    1520297992173348145    252.508996    249.690201    522.862147
81    81    1520297992180343675    250.170711    249.240387    142.948426
82    82    1520297992184634951    249.949215    249.010147    233.030921
83    83    1520297992190718761    248.409539    225.602188    164.370682
84    84    1520297992192588031    249.984901    244.282593    534.968196
85    85    1520297992194496653    251.514087    245.005737    523.938213
86    86    1520297992201514304    249.321667    244.529160    142.497824
87    87    1520297992203391856    250.837769    245.148926    532.608418
88    88    1520297992210392923    248.724638    217.940704    142.835371
89    89    1520297992212281804    250.198554    244.820755    529.413976
90    90    1520297992214257965    251.596344    244.440094    506.031644
91    91    1520297992221206982    249.566320    244.718323    143.905246
92    92    1520297992225641403    249.280365    243.864059    225.508584
93    93    1520297992230934752    248.435874    248.657318    188.916317
94    94    1520297992232865921    249.803821    248.275177    517.821071
95    95    1520297992234755535    251.185254    248.392395    529.208611
96    96    1520297992241752272    249.238937    248.521500    142.923766
97    97    1520297992243634154    250.596664    248.494751    531.382945
98    98    1520297992250558248    248.749498    248.970978    144.423227
99    99    1520297992252507386    250.037574    248.598022    513.047306
100    100    1520297992254423282    251.333944    248.971024    521.948999
101    101    1520297992261391731    249.495972    248.850616    143.503956
102    102    1520297992265699702    249.314864    249.636154    232.127839
103    103    1520297992271782797    248.082547    244.809753    164.390002
104    104    1520297992273739604    249.304258    244.656204    511.036602
105    105    1520297992280644178    247.619186    217.918839    144.831528
106    106    1520297992282574344    248.833246    244.965515    518.090154
107    107    1520297992284512628    250.031756    244.627518    515.920268
108    108    1520297992291543518    248.305134    243.990097    142.229504
109    109    1520297992293460468    249.493657    244.181870    521.662015
110    110    1520297992300431899    247.842872    217.350601    143.442573
111    111    1520297992302342336    249.013484    244.196640    523.440448
112    112    1520297992310813984    246.592178    221.659302    118.040787
113    113    1520297992312701253    247.754045    244.388504    529.866172
114    114    1520297992314637464    248.880057    244.511566    516.472637
115    115    1520297992321594978    247.320262    244.195480    143.729499
116    116    1520297992323477570    248.455079    244.479507    531.182540
117    117    1520297992330387927    246.954697    217.982224    144.710324
118    118    1520297992332299084    248.055377    245.365265    523.243250
119    119    1520297992334203785    249.150661    245.439026    525.016787
120    120    1520297992341149461    247.655477    245.594269    143.974467
121    121    1520297992343042597    248.738416    245.698669    528.224068
122    122    1520297992350809832    246.867821    250.025955    128.745944
123    123    1520297992352771917    247.898648    249.559128    509.661916
124    124    1520297992354750460    248.913262    249.295776    505.422424
125    125    1520297992361755592    247.452760    249.000168    142.752485
126    126    1520297992363674529    248.480243    248.775024    521.121850
127    127    1520297992370682217    247.049533    248.174118    142.700417
128    128    1520297992372568403    248.076490    248.328003    530.170407
129    129    1520297992374489173    249.079518    248.228958    520.624541
130    130    1520297992381426626    247.703013    248.279633    144.145121
131    131    1520297992383319245    248.703843    248.282837    528.368362
132    132    1520297992390889752    247.063907    249.501495    132.091549
133    133    1520297992392773132    248.053687    249.992401    530.960295
134    134    1520297992394734991    249.000541    250.096725    509.720627
135    135    1520297992401692055    247.666941    250.397736    143.738796
136    136    1520297992403658474    248.597791    250.100388    508.538618
137    137    1520297992410568632    247.311324    250.711929    144.714491
138    138    1520297992412443004    248.269477    250.786209    533.512024
139    139    1520297992414421122    249.175218    250.426041    505.531015
140    140    1520297992421421339    247.866832    250.033051    142.852714
141    141    1520297992423301273    248.802516    250.112381    531.933568
142    142    1520297992430838768    247.288784    250.319061    132.670071
143    143    1520297992432717639    248.211608    250.347305    532.234517
144    144    1520297992434634841    249.112068    250.627502    521.593447
145    145    1520297992441589538    247.868483    250.642380    143.787716
146    146    1520297992443479828    248.767866    251.121536    529.019357
147    147    1520297992450414196    247.555100    250.968964    144.209249
148    148    1520297992452371348    248.414543    250.448654    510.946518
149    149    1520297992454288618    249.284917    250.830902    521.574948
150    150    1520297992461332461    248.043183    250.556717    141.967957
151    151    1520297992463219215    248.914389    250.513916    530.010802
152    152    1520297992470759924    247.495752    250.493759    132.613525
153    153    1520297992472651453    248.353466    250.414337    528.672836
154    154    1520297992474578673    249.191663    250.351547    518.882120
155    155    1520297992481592146    248.002999    249.983704    142.582712
156    156    1520297992483542649    248.821208    249.607986    512.688266
157    157    1520297992490459392    247.690872    249.717850    144.576718
158    158    1520297992492434096    248.489294    249.608444    506.405011
159    159    1520297992494348035    249.306406    249.629196    522.482691
160    160    1520297992501314770    248.170599    250.110611    143.539262
161    161    1520297992503208733    248.985140    250.065536    527.993419
162    162    1520297992510790940    247.636272    249.806305    131.887721
163    163    1520297992512664309    248.448404    249.919678    533.797666
164    164    1520297992514568113    249.244480    250.066025    525.264155
165    165    1520297992521530974    248.145086    250.382919    143.619124
166    166    1520297992523450811    248.925552    250.575302    520.877554
167    167    1520297992530365025    247.861629    250.591187    144.629599
168    168    1520297992532247912    248.646269    251.169098    531.099317
169    169    1520297992534152622    249.418588    251.227325    525.014307
170    170    1520297992541101905    248.353601    251.337524    143.899738
171    171    1520297992543008335    249.116202    251.258789    524.540634
172    172    1520297992550798725    247.768923    249.951355    128.363278
173    173    1520297992552716544    248.518512    249.673950    521.425640
174    174    1520297992554650800    249.258170    249.484268    516.994648
175    175    1520297992561611762    248.221456    249.496094    143.658305
176    176    1520297992563558047    248.948456    249.331573    513.799366
177    177    1520297992570554594    247.915318    248.820770    142.927647
178    178    1520297992572457539    248.649084    248.696655    525.501263
179    179    1520297992574377678    249.373041    248.601273    520.795630
180    180    1520297992581414213    248.337539    248.063202    142.115402
181    181    1520297992583317691    249.059119    248.081375    525.354115
182    182    1520297992591744397    247.572671    244.226059    118.670332
183    183    1520297992593672518    248.277902    244.164612    518.639650
184    184    1520297992600615691    247.310268    217.557358    144.026369
185    185    1520297992602549345    248.006002    244.274323    517.155603
186    186    1520297992604435751    248.713785    244.632126    530.108577
187    187    1520297992611361755    247.761495    245.055038    144.383399
188    188    1520297992613256126    248.459083    245.106522    527.879703
189    189    1520297992620191602    247.516979    218.274246    144.186210
190    190    1520297992622113911    248.198154    245.702072    520.207729
191    191    1520297992624059881    248.868302    245.445816    513.882537
192    192    1520297992632559476    247.438441    245.007477    117.652665
193    193    1520297992634501561    248.102760    244.923691    514.910521
194    194    1520297992640635420    247.440600    249.876755    163.029506
195    195    1520297992642533224    248.112029    250.100784    526.924804
196    196    1520297992644418727    248.784105    250.106445    530.362455
197    197    1520297992651394993    247.863275    249.792435    143.343158
198    198    1520297992653379761    248.497692    249.229660    503.837224
199    199    1520297992660393505    247.578064    248.744446    142.577203
200    200    1520297992662371230    248.208290    248.402023    505.631471
201    201    1520297992664264192    248.861429    248.729553    528.272622
202    202    1520297992673181785    247.375658    246.170151    112.137883
203    203    1520297992675077307    248.021357    246.452652    527.559163
204    204    1520297992680576736    247.581778    250.367325    181.837060
205    205    1520297992682519237    248.207202    250.087448    514.800250
206    206    1520297992684405496    248.846530    250.082718    530.149889
207    207    1520297992691413950    247.959563    249.881577    142.684820
208    208    1520297992693370494    248.571901    250.057938    511.105296
209    209    1520297992700357162    247.702948    250.227341    143.129744
210    210    1520297992702273916    248.321061    250.609695    521.715358
211    211    1520297992704221200    248.927468    250.268997    513.535776
212    212    1520297992712970858    247.558307    251.325287    114.290181
213    213    1520297992714910062    248.161239    251.049667    515.675504
214    214    1520297992720687619    247.661578    249.308899    173.083537
215    215    1520297992722683894    248.242649    248.975113    500.932988
216    216    1520297992724573645    248.851456    248.953461    529.170245
217    217    1520297992731510300    248.025240    249.399261    144.161703
218    218    1520297992733430288    248.619878    249.626846    520.836589
219    219    1520297992740367785    247.803478    249.933624    144.144206
220    220    1520297992742311064    248.386173    249.768051    514.594147
221    221    1520297992744193721    248.983255    250.171875    531.164200
222    222    1520297992752895425    247.687529    250.472351    114.920020
223    223    1520297992754811887    248.269761    250.615097    521.794849
224    224    1520297992760601846    247.787983    250.537231    172.712795
225    225    1520297992762519429    248.364767    251.032150    521.489813
226    226    1520297992764408412    248.946933    251.036987    529.385389
227    227    1520297992771355157    248.153093    250.973419    143.952311
228    228    1520297992773285556    248.718918    250.907867    518.027620
