Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520297987734772641    0.000000    0.000000    0.000000
1    1    1520297987736106826    1499.042487    749.521240    749.521243
2    2    1520297987739022038    705.982519    470.654999    343.028226
3    3    1520297987740147653    744.184385    558.138306    888.403228
4    4    1520297987741247818    772.179664    617.743713    908.954566
5    5    1520297987742345551    792.297809    660.248169    910.968332
6    6    1520297987743479518    803.962201    689.110474    881.859878
7    7    1520297987744575292    816.105766    714.092529    912.596941
8    8    1520297987745673111    825.652472    733.913330    910.896969
9    9    1520297987746769873    833.525600    750.173035    911.774843
10    10    1520297987747883735    838.984146    762.712891    897.777283
11    11    1520297987748979629    844.654757    776.831604    912.497012
12    12    1520297987751721405    767.017583    787.440796    364.727097
13    13    1520297987752857087    774.145915    786.817139    880.528176
14    14    1520297987753970175    781.350355    786.017822    898.401564
15    15    1520297987755061592    788.606567    786.408264    916.240081
16    16    1520297987756179612    794.133836    787.395752    894.438382
17    17    1520297987757274201    799.944537    787.469238    913.584916
18    18    1520297987758400348    804.140664    785.716431    887.983540
19    19    1520297987759502209    808.748459    785.401794    907.555490
20    20    1520297987760591372    813.362981    786.928345    918.136220
21    21    1520297987761722904    816.318564    784.727661    883.757596
22    22    1520297987764542214    772.600937    779.981995    354.696717
23    23    1520297987765673593    776.675100    780.243835    883.877109
24    24    1520297987766770384    781.305106    781.237244    911.750735
25    25    1520297987767893560    785.002373    779.303711    890.332415
26    26    1520297987768988689    789.103406    780.696350    913.134434
27    27    1520297987770145945    791.557385    776.895508    864.113040
28    28    1520297987771244373    795.136354    778.572144    910.391942
29    29    1520297987772360576    798.128442    777.703674    895.894385
30    30    1520297987773478159    800.919393    775.988586    894.788128
31    31    1520297987774569876    804.075962    778.393494    915.988301
32    32    1520297987777287182    776.205017    784.623413    368.011553
33    33    1520297987778381769    779.653287    786.894958    913.586586
34    34    1520297987779503926    782.450135    785.327393    891.140901
35    35    1520297987780600713    785.544720    786.958374    911.754060
