Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520300302476572386    0.000000    0.000000    0.000000
1    1    1520300302477976398    1424.489249    712.244629    712.244625
2    2    1520300302485517838    335.365949    223.577301    132.600670
3    3    1520300302486784323    391.698460    293.773834    789.586928
4    4    1520300302488051905    435.558319    348.446655    788.903598
5    5    1520300302489391500    468.051068    390.042572    746.494276
6    6    1520300302495677050    366.402675    314.059418    159.095067
7    7    1520300302496946102    392.662782    343.579956    787.989775
8    8    1520300302498232246    415.515151    369.346802    777.517914
9    9    1520300302499482203    436.494102    392.844696    800.027521
10    10    1520300302505799846    376.358397    342.144012    158.286880
11    11    1520300302507068315    393.495145    343.738098    788.351942
12    12    1520300302509860012    390.535510    410.809631    358.205063
13    13    1520300302515899109    355.992031    343.468109    165.587670
14    14    1520300302517209623    369.119584    342.962372    763.059380
15    15    1520300302518464390    381.934462    343.963043    796.960711
16    16    1520300302519720477    393.991938    415.914093    796.123198
17    17    1520300302526076277    363.607782    343.286652    157.336606
18    18    1520300302527371674    374.020990    343.177643    771.964116
19    19    1520300302528620788    384.257715    343.187561    800.567442
20    20    1520300302534875304    360.187804    343.932678    159.884474
21    21    1520300302536183086    369.061259    343.468292    764.653436
22    22    1520300302538989443    368.489017    343.295410    356.333852
23    23    1520300302540352005    376.295757    408.949524    733.911558
24    24    1520300302546202527    359.039916    344.911957    170.924919
25    25    1520300302547463116    366.761634    344.842743    793.279967
26    26    1520300302548712450    374.271916    344.923065    800.426467
27    27    1520300302555019117    356.930106    345.508606    158.562359
28    28    1520300302556272945    363.861940    346.005554    797.557560
29    29    1520300302557538629    370.524788    345.807281    790.086625
30    30    1520300302558819273    376.913961    417.641693    780.857131
31    31    1520300302565110885    361.424695    345.688232    158.941778
32    32    1520300302567872361    361.445882    346.225403    362.125182
33    33    1520300302569163708    367.205039    347.081177    774.385196
34    34    1520300302575083303    355.290572    346.251099    168.930476
35    35    1520300302576350754    360.799647    346.168854    788.985136
36    36    1520300302577646466    366.068135    345.613983    771.776444
37    37    1520300302578913364    371.307767    418.510773    789.329528
38    38    1520300302585234138    358.911938    345.289642    158.208473
39    39    1520300302586497347    363.884596    345.319153    791.634638
40    40    1520300302587851801    368.441908    344.441254    738.304882
41    41    1520300302589121973    373.168850    416.474274    787.294949
42    42    1520300302596389663    358.879797    350.664307    137.595302
43    43    1520300302597674789    363.328876    350.740845    778.133817
44    44    1520300302598943497    367.733852    419.108063    788.203432
45    45    1520300302605343667    357.222508    344.911896    156.245850
46    46    1520300302606621176    361.402824    345.128571    782.773350
47    47    1520300302607881890    365.548559    345.202240    793.201313
48    48    1520300302609158205    369.571952    417.989136    783.505639
49    49    1520300302615457192    360.010583    345.305725    158.755686
50    50    1520300302616746292    363.833765    346.086731    775.735009
51    51    1520300302618026607    367.610098    345.965271    781.057787
