Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520300056112340380    0.000000    0.000000    0.000000
1    1    1520300056114393760    974.003838    487.001923    487.001919
2    2    1520300056123578665    266.944645    177.963104    108.874289
3    3    1520300056130130960    224.838088    168.628555    152.618281
4    4    1520300056132043315    253.769299    203.015427    522.915463
5    5    1520300056133982698    277.234629    231.028870    515.627908
6    6    1520300056140937321    244.781426    209.812637    143.789246
7    7    1520300056142867884    262.058765    229.301422    517.983614
8    8    1520300056144744896    277.739066    246.879166    532.761645
9    9    1520300056151658261    254.337206    228.903488    144.647361
10    10    1520300056153565052    266.830504    242.573181    524.441326
11    11    1520300056160474353    249.304166    217.011093    144.732441
12    12    1520300056164364645    249.883396    245.182297    257.050113
13    13    1520300056171195119    237.873793    243.521362    146.402724
14    14    1520300056173156196    246.646366    243.232773    509.923884
15    15    1520300056180106546    236.106024    216.807571    143.877646
16    16    1520300056182015071    243.991035    243.440796    523.964842
17    17    1520300056183904695    251.522005    243.683655    529.205810
18    18    1520300056190891322    241.881249    216.701508    143.130584
19    19    1520300056192760082    248.695276    243.298233    535.114193
20    20    1520300056194643659    255.153868    243.435715    530.904763
21    21    1520300056201665344    246.291731    242.771545    142.415959
22    22    1520300056210240634    234.932996    217.978943    116.614132
23    23    1520300056212198731    240.340440    243.880951    510.699930
24    24    1520300056214137674    245.586096    244.012680    515.744919
25    25    1520300056221099901    239.059530    243.941971    143.632203
26    26    1520300056222985882    244.022572    244.076202    530.228035
27    27    1520300056229919008    238.138516    217.323669    144.235082
28    28    1520300056231813341    242.732747    244.367218    527.890292
29    29    1520300056233732821    247.132356    244.064713    520.974431
30    30    1520300056240671459    241.562685    217.260010    144.120503
31    31    1520300056242582397    245.696441    244.396881    523.303215
32    32    1520300056251173397    237.695620    244.303085    116.400885
33    33    1520300056253178041    241.412700    244.025589    498.841690
34    34    1520300056260112477    236.851210    217.510437    144.207835
35    35    1520300056262060282    240.448995    244.138367    513.398415
36    36    1520300056263952958    244.043077    244.098465    528.352449
37    37    1520300056270914450    239.635648    243.929550    143.647368
38    38    1520300056272816541    243.026751    243.883408    525.737202
39    39    1520300056274721210    246.334497    243.971527    525.025608
40    40    1520300056281815248    241.923776    243.050049    140.963440
41    41    1520300056283703456    245.093640    243.184387    529.602671
42    42    1520300056292129548    239.169025    244.163574    118.678980
43    43    1520300056294072391    242.114748    244.532562    514.709629
44    44    1520300056301129211    238.361559    243.802933    141.706888
45    45    1520300056303101173    241.139698    243.659439    507.109163
46    46    1520300056310058984    237.711571    216.891388    143.723364
47    47    1520300056311964167    240.452306    243.607040    524.883961
48    48    1520300056313895411    243.109784    243.434158    517.800961
49    49    1520300056320916117    239.721076    216.474091    142.435818
50    50    1520300056322892086    242.220787    243.446198    506.080814
51    51    1520300056324757246    244.801653    243.582870    536.147033
52    52    1520300056333862876    239.253353    239.616653    109.822165
53    53    1520300056340181785    237.006965    216.875534    158.255167
54    54    1520300056342167649    239.310158    243.673996    503.559156
55    55    1520300056344061349    241.669972    244.139587    528.066748
56    56    1520300056351013982    238.819876    244.170441    143.830402
57    57    1520300056352976137    241.028186    243.831253    509.643734
58    58    1520300056359916844    238.310214    217.290054    144.077541
59    59    1520300056361844521    240.476971    244.329086    518.759107
60    60    1520300056363716323    242.664430    244.952530    534.244541
61    61    1520300056370660697    240.012093    217.848557    144.001461
62    62    1520300056374690960    240.136690    244.929443    248.122765
63    63    1520300056381264692    237.985177    243.410233    152.120591
64    64    1520300056383151839    240.019386    243.996521    529.900426
65    65    1520300056390098147    237.617118    217.217529    143.961368
66    66    1520300056392010241    239.568181    243.924683    522.986841
67    67    1520300056393949620    241.469350    244.060287    515.628972
68    68    1520300056400860929    239.151077    244.235519    144.690391
69    69    1520300056402775354    241.017805    244.314606    522.350053
70    70    1520300056404764881    242.797713    243.613922    502.632033
71    71    1520300056411694985    240.517429    243.698639    144.297979
72    72    1520300056420258428    237.076068    219.454803    116.775461
73    73    1520300056422199924    238.817882    244.288345    515.066732
74    74    1520300056424083018    240.583067    244.312531    531.040936
75    75    1520300056431129799    238.401890    243.714294    141.908767
76    76    1520300056433045855    240.095683    243.690750    521.905414
77    77    1520300056440045888    238.018581    216.937286    142.856469
78    78    1520300056441977839    239.657229    243.208939    517.611472
79    79    1520300056443849740    241.320486    243.460739    534.216286
80    80    1520300056450738487    239.363041    217.516113    145.164280
81    81    1520300056452680451    240.935485    243.988937    514.942604
82    82    1520300056461242661    237.888958    243.996277    116.792277
83    83    1520300056463129361    239.460201    244.322922    530.025971
84    84    1520300056470080493    237.602653    217.403244    143.861460
85    85    1520300056471974426    239.131976    244.830246    528.001783
86    86    1520300056473935716    240.600448    244.559402    509.868505
87    87    1520300056480863288    238.791126    244.993561    144.350719
88    88    1520300056482820662    240.228709    244.841064    510.888568
89    89    1520300056484695037    241.705047    244.826218    533.511170
90    90    1520300056491708106    239.872804    244.083298    142.590926
91    91    1520300056493609847    241.299154    244.323181    525.833960
92    92    1520300056502259992    238.510701    243.799393    115.604999
93    93    1520300056504209669    239.875904    243.425644    512.905471
94    94    1520300056511224662    238.164311    243.047806    142.551817
95    95    1520300056513129845    239.527254    242.981369    524.883961
96    96    1520300056520123279    237.871672    216.508484    142.991269
97    97    1520300056522053351    239.191841    242.777008    518.115386
98    98    1520300056523938520    240.525868    243.203339    530.456421
99    99    1520300056530906386    238.910945    216.397049    143.515963
100    100    1520300056532779573    240.224988    243.478027    533.849530
101    101    1520300056534687038    241.507771    243.444107    524.256015
102    102    1520300056543767731    238.742397    240.918930    110.123754
103    103    1520300056550184525    237.527443    217.510208    155.841063
104    104    1520300056552125825    238.752785    244.491821    515.118735
105    105    1520300056554045015    239.979370    244.408127    521.053153
106    106    1520300056560989289    238.493838    244.702133    144.003534
107    107    1520300056563011198    239.642763    244.153458    494.582100
108    108    1520300056570007062    238.164595    217.067871    142.941601
109    109    1520300056571891094    239.364224    243.993439    530.776547
110    110    1520300056573796792    240.542762    243.800049    524.742115
111    111    1520300056580691477    239.136837    217.370331    145.039259
112    112    1520300056584659722    239.244913    244.546677    252.000570
113    113    1520300056591161471    238.084751    244.039673    153.804769
114    114    1520300056593093954    239.207790    244.092178    517.468976
115    115    1520300056600035337    237.853597    217.437057    144.063510
116    116    1520300056601934823    238.973301    244.226868    526.458210
117    117    1520300056603811552    240.095466    245.095901    532.841982
118    118    1520300056610764949    238.752275    245.351288    143.814599
119    119    1520300056612655005    239.849075    245.315033    529.084853
120    120    1520300056614556573    240.932096    245.339890    525.881799
121    121    1520300056621529462    239.596653    244.870071    143.412580
122    122    1520300056630247165    237.494475    219.358643    114.709115
123    123    1520300056632211504    238.520653    243.605164    509.077099
124    124    1520300056634202433    239.526900    243.258804    502.278082
125    125    1520300056641258500    238.222128    242.582062    141.722010
126    126    1520300056643190949    239.238700    242.388245    517.478081
127    127    1520300056650164034    237.996226    215.738190    143.408549
128    128    1520300056652050196    239.017331    242.217270    530.177153
129    129    1520300056653946630    240.026772    242.179855    527.305459
130    130    1520300056660879866    238.815989    215.874115    144.232794
131    131    1520300056662784049    239.806555    242.397278    525.159609
132    132    1520300056671239488    237.967816    243.948120    118.267070
133    133    1520300056673226276    238.907772    243.814590    503.324965
134    134    1520300056680193647    237.737472    217.432831    143.526159
135    135    1520300056682129508    238.684793    244.672211    516.566014
136    136    1520300056684091250    239.614852    244.496979    509.751027
137    137    1520300056691035000    238.467743    244.672470    144.014401
138    138    1520300056692929083    239.412168    244.625046    527.959968
139    139    1520300056699942955    238.256274    217.408676    142.574601
140    140    1520300056701919446    239.153674    243.667206    505.947156
141    141    1520300056703796215    240.085551    243.830093    532.830625
142    142    1520300056712126407    238.418358    244.576996    120.045252
143    143    1520300056714035632    239.323810    245.041855    523.772735
144    144    1520300056721093423    238.191828    244.500122    141.687392
145    145    1520300056722991598    239.089018    244.725616    526.821816
146    146    1520300056729908419    238.030453    218.258789    144.575087
147    147    1520300056731796986    238.919076    245.326614    529.501998
148    148    1520300056733781869    239.765131    244.781357    503.808033
149    149    1520300056740713503    238.711674    245.275101    144.266128
150    150    1520300056742716303    239.539606    245.116913    499.300979
151    151    1520300056744601899    240.406850    245.063889    530.336297
152    152    1520300056753594396    238.594997    241.149857    111.203818
153    153    1520300056760144797    237.726073    216.876617    152.662410
154    154    1520300056762086895    238.554569    243.941269    514.907075
155    155    1520300056764036103    239.375516    243.637970    513.028881
156    156    1520300056771024731    238.353924    243.212479    143.089602
157    157    1520300056772912379    239.186645    243.217911    529.759786
158    158    1520300056779932600    238.169342    216.681290    142.445658
159    159    1520300056781835760    238.985966    243.177307    525.441897
160    160    1520300056783705197    239.810005    243.968521    534.920407
161    161    1520300056790623759    238.838228    217.288040    144.538706
162    162    1520300056794624609    238.903368    243.722839    249.946886
163    163    1520300056801183612    238.080295    243.671753    152.462196
164    164    1520300056803080415    238.874239    243.940994    527.202878
165    165    1520300056810021403    237.931081    217.460800    144.071709
166    166    1520300056811932616    238.710482    244.451645    523.227919
167    167    1520300056813844718    239.485333    244.305603    522.984652
168    168    1520300056820746823    238.563612    245.012634    144.883336
169    169    1520300056822658406    239.329418    244.962082    523.126644
170    170    1520300056824544435    240.099728    244.862549    530.214541
171    171    1520300056831468433    239.178543    244.829956    144.425229
172    172    1520300056840226129    237.674663    219.290939    114.185283
173    173    1520300056842192156    238.404572    243.851624    508.640014
174    174    1520300056844083047    239.155113    243.886780    528.851214
175    175    1520300056851019023    238.263285    243.916595    144.175816
176    176    1520300056852965008    238.987462    243.709900    513.878576
177    177    1520300056859987011    238.080388    216.720901    142.409509
178    178    1520300056861895298    238.808386    243.022369    524.030190
179    179    1520300056863765074    239.544962    243.269531    534.823423
180    180    1520300056870735652    238.661825    216.491379    143.460126
181    181    1520300056872631640    239.381944    242.935394    527.429498
182    182    1520300056881213677    238.010607    243.976532    116.522453
183    183    1520300056883102966    238.724613    244.434174    529.299647
184    184    1520300056890057308    237.875753    217.513016    143.795056
185    185    1520300056891940796    238.583762    244.368698    530.929849
186    186    1520300056893862489    239.276660    244.513840    520.374482
187    187    1520300056900757409    238.452485    245.276001    145.034315
188    188    1520300056902669529    239.140870    245.252945    522.979729
189    189    1520300056904579846    239.826477    245.009323    523.473329
190    190    1520300056911495379    239.002447    245.340210    144.602014
191    191    1520300056913469967    239.661602    244.868011    506.434760
192    192    1520300056922167032    238.322608    244.180237    114.981318
193    193    1520300056924054386    239.000434    244.191772    529.842308
194    194    1520300056931090338    238.167951    243.706100    142.127178
