2 4 1524025382.2102773
1 4 1524025382.8585913
2 8.912515671760813 0.99 1524025383.5742495
2 10.031251940934462 0.99 1524025383.846413
1 10.367685352205653 0.99 1524025384.0363944
2 10.387575183785662 0.99 1524025384.135097
1 10.71915630012594 0.99 1524025384.308516
2 10.097307238909066 0.99 1524025384.495026
1 11.21107677223361 0.98 1524025384.573338
2 10.12568095722363 0.99 1524025384.7599945
1 11.13397411095719 0.97 1524025384.8480968
2 9.625322374748675 0.99 1524025385.0934994
1 11.02351573672801 0.96 1524025385.1303952
2 9.550905260352241 0.99 1524025385.39142
1 11.028612172284372 0.95 1524025385.4111705
1 10.888902699367899 0.95 1524025385.6754663
2 9.736215624466938 0.99 1524025385.7265992
1 10.911356007515181 0.95 1524025385.9500835
2 9.5629978507068 0.99 1524025386.0176356
1 10.915018116897013 0.95 1524025386.224555
2 9.977533373939867 0.99 1524025386.2959063
1 10.836160694875126 0.95 1524025386.5026872
2 10.132768664756355 0.99 1524025386.573973
1 10.876909291142436 0.95 1524025386.7773368
2 10.671587025134995 0.99 1524025386.8498113
1 10.864069020122422 0.95 1524025387.0539842
2 10.609750782344033 0.99 1524025387.1476243
1 10.890840565582447 0.95 1524025387.326533
2 10.09435466321997 0.99 1524025387.4871316
1 10.876558338993343 0.95 1524025387.6078427
2 9.93775371077984 0.99 1524025387.7870722
1 10.940965687746127 0.95 1524025387.87548
2 9.804582628988822 0.99 1524025388.0739048
1 10.867837941027883 0.95 1524025388.1570342
2 9.376817735613924 0.99 1524025388.4265685
1 10.797723805155089 0.95 1524025388.4485912
1 10.843492543033308 0.95 1524025388.7145197
2 9.755304369619683 0.99 1524025388.7355127
2 9.924966845521642 0.99 1524025388.9933553
1 10.712251698062298 0.95 1524025389.0178661
2 10.011858019999904 0.99 1524025389.2738342
1 10.712396656558656 0.95 1524025389.2967346
1 10.809885060060559 0.95 1524025389.5487218
2 10.295694385274674 0.99 1524025389.5910292
1 10.761507069247786 0.95 1524025389.8312666
2 10.169366870390931 0.99 1524025389.894894
1 10.781549488718714 0.95 1524025390.1076787
2 10.125383410836353 0.99 1524025390.176061
1 10.880861317516983 0.95 1524025390.3813484
2 9.720994982348744 0.99 1524025390.5089965
1 10.9246158952352 0.95 1524025390.6489859
2 9.860101733096135 0.99 1524025390.8108385
1 10.937524830806117 0.95 1524025390.9267333
2 9.768907580094245 0.99 1524025391.122627
1 11.057291066380767 0.94 1524025391.1929393
2 9.800867113845174 0.99 1524025391.4014459
1 11.008150136113455 0.93 1524025391.4717546
2 10.196535144367326 0.99 1524025391.6836565
1 10.820497547873291 0.93 1524025391.7554913
2 10.022935900879906 0.99 1524025392.0075715
1 10.846498524484224 0.93 1524025392.0330844
2 10.094095263805416 0.99 1524025392.3143015
1 10.578348194394914 0.93 1524025392.3395603
2 10.102571521145427 0.99 1524025392.5885816
1 10.58075145367673 0.93 1524025392.608087
1 10.61158183703494 0.93 1524025392.888969
2 9.66623118830143 0.99 1524025392.9245813
1 10.544176136225797 0.93 1524025393.1680655
2 10.088754687623599 0.99 1524025393.1956253
1 10.668504749738629 0.93 1524025393.4529538
2 10.391885791703846 0.99 1524025393.4736435
1 10.66854289671135 0.93 1524025393.7312548
2 9.598825487492283 0.99 1524025393.8466916
1 10.673761402580444 0.93 1524025394.0094082
2 10.027475390634459 0.99 1524025394.123969
1 10.760995899813244 0.93 1524025394.286986
2 9.391916307419386 0.99 1524025394.47268
1 10.786417042438725 0.93 1524025394.5677383
2 9.387231859168475 0.99 1524025394.7444532
1 10.720918690265933 0.93 1524025394.8482993
2 10.079828296005413 0.99 1524025395.030024
1 10.713441883611393 0.93 1524025395.130333
2 9.432428392455776 0.99 1524025395.3966792
1 10.686372791764098 0.93 1524025395.4212675
2 9.98617747795987 0.99 1524025395.6766665
1 10.714571034004118 0.93 1524025395.7031422
2 9.990808520448974 0.99 1524025395.9456637
1 10.783571278273266 0.93 1524025395.9660146
1 10.827547108433299 0.93 1524025396.2435093
2 9.722993883719653 0.99 1524025396.2704067
1 10.740465199091409 0.93 1524025396.5296278
2 9.875993761934334 0.99 1524025396.610142
1 10.732744251811402 0.93 1524025396.8039918
2 9.795732531316085 0.99 1524025396.9021122
1 10.657136951865892 0.93 1524025397.0897107
2 9.820009264759742 0.99 1524025397.169118
1 10.62298778188041 0.93 1524025397.3671002
2 9.606210741412296 0.99 1524025397.5123332
1 10.747911488167778 0.93 1524025397.6429274
2 9.896966967539802 0.99 1524025397.821132
1 10.755769764549608 0.93 1524025397.9245822
2 10.065088305743577 0.99 1524025398.0920038
1 10.720811878742301 0.93 1524025398.2079132
2 9.947664294294388 0.99 1524025398.3763623
1 10.731988941751398 0.93 1524025398.48835
2 10.00718883053808 0.99 1524025398.7136755
1 10.700250660442281 0.93 1524025398.7654042
1 10.701234852338649 0.93 1524025399.0418992
2 9.708124193750562 0.99 1524025399.0614734
1 10.827066456576937 0.93 1524025399.3152218
2 9.699411425179642 0.99 1524025399.3350651
1 10.870225941520605 0.93 1524025399.589525
2 9.163446458361017 0.99 1524025399.684942
1 10.888940846340617 0.93 1524025399.8650076
2 9.600214037299564 0.99 1524025399.9645925
1 10.890337025542449 0.93 1524025400.1447883
2 9.625307115959574 0.99 1524025400.3077073
1 10.816896473647839 0.93 1524025400.425627
2 9.651231798625059 0.99 1524025400.57229
1 10.824838673369662 0.93 1524025400.6968899
2 10.320611987860147 0.99 1524025400.8459985
1 10.818101917986025 0.93 1524025400.9738703
2 9.707132372459643 0.99 1524025401.19836
1 10.741205250362325 0.93 1524025401.2597678
2 10.16698649929276 0.99 1524025401.4868093
1 10.825731312531477 0.93 1524025401.534928
1 10.791734730436907 0.93 1524025401.813588
2 9.610429796595927 0.99 1524025401.8364239
1 10.703722034960474 0.93 1524025402.0964165
2 9.379724534935733 0.99 1524025402.1261072
1 10.73731425914414 0.93 1524025402.376698
2 9.940904650727118 0.99 1524025402.407261
1 10.707826649225934 0.93 1524025402.6539328
2 9.993471179145342 0.99 1524025402.6866558
1 10.676370655514997 0.93 1524025402.934563
2 10.049448046925379 0.99 1524025403.0165064
1 10.686235462662273 0.93 1524025403.21858
2 9.891725573487065 0.99 1524025403.3411627
1 10.74704173718959 0.93 1524025403.494972
2 9.478204759728552 0.99 1524025403.6699154
1 10.649675404000428 0.93 1524025403.7798228
2 9.453546556557622 0.99 1524025403.9543035
1 10.709909473936834 0.93 1524025404.0536678
2 9.903276476828896 0.99 1524025404.2279408
1 10.719972645342297 0.93 1524025404.3369327
2 9.52585032866495 0.99 1524025404.6015003
1 10.715005909493211 0.93 1524025404.6250942
1 10.796640431129635 0.93 1524025404.8931787
2 9.733293566356027 0.99 1524025404.9135056
