2 4 1524022154.9553287
2 8.9890919048136 0.99 1524022156.3168297
2 8.874727280577146 0.99 1524022156.6588693
2 8.907342942258985 0.99 1524022157.0079703
2 8.654291183975133 0.99 1524022157.3789182
2 8.642198593620583 0.99 1524022157.7068446
2 8.418512374942217 0.99 1524022158.0786026
2 8.785318405898881 0.99 1524022158.3817027
2 8.864030869424404 0.99 1524022158.7298884
2 9.022394212004532 0.99 1524022159.0368497
2 9.382005723904832 0.99 1524022159.3568604
2 8.860681565218943 0.99 1524022159.7361612
2 8.883295090651691 0.99 1524022160.0845468
2 8.428384811484044 0.99 1524022160.4623148
2 8.382600814816737 0.99 1524022160.7954175
2 8.606363327440548 0.99 1524022161.1282725
2 8.999521287157247 0.99 1524022161.4171052
2 9.492128404774007 0.99 1524022161.7173321
2 9.463670763119449 0.99 1524022162.0626948
2 9.402200731266673 0.99 1524022162.405547
2 9.534921678779499 0.99 1524022162.6688929
2 9.42050364878122 0.99 1524022162.9977777
2 9.694093737181454 0.99 1524022163.30084
2 10.200754199550959 0.99 1524022163.5821648
2 9.590227159839555 0.99 1524022163.9224958
2 9.798631701243357 0.99 1524022164.2145586
2 9.52738383696859 0.99 1524022164.560531
2 9.414506944668496 0.99 1524022164.8567688
2 9.874444994841602 0.99 1524022165.1368341
2 9.512033495143115 0.99 1524022165.4845138
2 9.564195665650441 0.99 1524022165.8145666
2 9.351640733613895 0.99 1524022166.132127
2 8.835001023178926 0.99 1524022166.499999
2 8.757471115807949 0.99 1524022166.8553085
2 8.884210617997152 0.99 1524022167.1648104
2 8.561990768764158 0.99 1524022167.5333548
2 8.721124680193379 0.99 1524022167.8754807
2 9.028604539164544 0.99 1524022168.1879532
2 8.720361740738834 0.99 1524022168.5391111
2 9.289087327735665 0.99 1524022168.8335426
2 9.225206407206514 0.99 1524022169.1758642
2 8.969675095695395 0.99 1524022169.5216725
2 8.91034129431535 0.99 1524022169.8821883
2 8.321794540289408 0.99 1524022170.2761755
2 8.471117050333168 0.99 1524022170.5933301
2 8.355043441718525 0.99 1524022170.9549072
2 8.638910324571484 0.99 1524022171.2776732
2 9.11861613601188 0.99 1524022171.5896015
2 9.30037883166294 0.99 1524022171.8747272
2 9.622377428454115 0.99 1524022172.2009091
2 9.812601122656103 0.99 1524022172.5007887
2 9.381647142361201 0.99 1524022172.8690085
2 8.981058152357226 0.99 1524022173.212796
2 8.765146286720691 0.99 1524022173.573957
2 8.5195560763023 0.99 1524022173.9066327
2 8.53837779264595 0.99 1524022174.2708492
2 8.594080002222357 0.99 1524022174.61548
2 8.67853739984061 0.99 1524022174.9566312
2 8.721841843280647 0.99 1524022175.278394
2 8.752748520584309 0.99 1524022175.6389217
2 8.744462998107942 0.99 1524022175.9862278
2 8.559457809775061 0.99 1524022176.3584332
2 8.456102401867708 0.99 1524022176.6978421
