Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520299180191691506    0.000000    0.000000    0.000000
1    1    1520299180193908215    902.238408    451.119202    451.119204
2    2    1520299180202925162    267.054644    178.036423    110.902282
3    3    1520299180204814753    304.802615    228.601974    529.215052
4    4    1520299180210611485    264.270906    211.416718    172.510994
5    5    1520299180212489940    288.483258    240.402725    532.352385
6    6    1520299180214436358    307.761950    263.795959    513.764258
7    7    1520299180221414883    269.148421    235.504883    143.296757
8    8    1520299180223324743    284.510877    252.898560    523.598588
9    9    1520299180230249204    259.351583    233.416428    144.415573
10    10    1520299180232134521    271.987635    247.261490    530.414779
11    11    1520299180234040944    283.356771    249.173187    524.542560
12    12    1520299180242602384    255.348179    252.033768    116.802781
13    13    1520299180244571522    264.750298    251.529495    507.836424
14    14    1520299180250758206    253.950195    249.086349    161.637478
15    15    1520299180252648906    262.478387    249.010406    528.904638
16    16    1520299180254562303    270.395809    249.215317    522.630693
17    17    1520299180261527151    257.748031    249.300293    143.578151
18    18    1520299180263466440    264.716370    249.117523    515.652902
19    19    1520299180270386361    254.146221    249.145691    144.510320
20    20    1520299180272255946    260.660907    249.243393    534.878061
21    21    1520299180274210849    266.604158    248.942581    511.534332
22    22    1520299180282894908    252.183575    248.184998    115.153524
23    23    1520299180284849089    257.627981    248.277161    511.723326
24    24    1520299180290696707    252.511987    250.384964    171.009803
25    25    1520299180292571099    257.732999    250.487244    533.506332
26    26    1520299180294472732    262.693889    250.561066    525.863823
27    27    1520299180301472007    255.054402    250.345139    142.871940
28    28    1520299180303387399    259.633539    250.494980    522.086341
29    29    1520299180310326264    252.876986    250.376175    144.115788
30    30    1520299180312232615    257.173675    250.145905    524.562371
31    31    1520299180314128471    261.358978    250.515915    527.466221
32    32    1520299180322936816    251.437556    249.738358    113.528705
33    33    1520299180324954844    255.133936    249.340775    495.533263
34    34    1520299180330676772    251.825255    250.124649    174.766268
35    35    1520299180332560209    255.557120    250.068085    530.944226
36    36    1520299180334474452    259.134589    249.989258    522.399716
37    37    1520299180341459177    253.726320    250.080215    143.169559
38    38    1520299180343367554    257.126953    250.124100    524.005477
39    39    1520299180350298588    252.195548    250.173096    144.278617
40    40    1520299180352318709    255.249417    249.463058    495.019853
41    41    1520299180354229929    258.400440    249.367493    523.226002
42    42    1520299180363215356    250.694000    248.271164    111.291316
43    43    1520299180365151047    253.661458    248.779724    516.611381
44    44    1520299180370668923    251.428369    250.049072    181.229154
45    45    1520299180372614876    254.251289    249.658798    513.887026
46    46    1520299180374562592    257.011652    249.450333    513.421875
47    47    1520299180381535240    252.839527    249.525513    143.417537
48    48    1520299180383436120    255.548247    249.572205    526.072135
49    49    1520299180390443342    251.570003    249.098541    142.709907
50    50    1520299180392388617    254.114271    249.563843    514.066135
51    51    1520299180394292342    256.662317    249.610535    525.285953
52    52    1520299180403217779    250.559891    249.984863    112.039332
53    53    1520299180405121554    253.010298    250.184464    525.272157
54    54    1520299180410717983    251.111193    249.693756    178.685372
55    55    1520299180412611446    253.485493    250.021439    528.132844
56    56    1520299180414518146    255.804243    250.278091    524.466355
57    57    1520299180421569582    252.307662    249.785538    141.815086
58    58    1520299180423475908    254.546896    249.751572    524.569250
59    59    1520299180430411354    251.340643    250.200089    144.186834
60    60    1520299180432289181    253.535285    250.623016    532.530419
61    61    1520299180434187774    255.674038    250.655258    526.705829
62    62    1520299180442951190    250.736604    251.677368    114.110753
63    63    1520299180444909394    252.746757    251.333069    510.672024
64    64    1520299180450705441    250.951749    250.078415    172.531382
65    65    1520299180452602246    252.960074    250.057510    527.202322
66    66    1520299180454517319    254.921688    250.005173    522.173306
67    67    1520299180461455921    252.071794    250.712402    144.121251
68    68    1520299180463332346    254.011878    250.900497    532.928308
69    69    1520299180470244189    251.298962    251.049164    144.679212
70    70    1520299180472220560    253.093214    250.429611    505.977876
71    71    1520299180474120017    254.931769    250.424210    526.466248
72    72    1520299180482971611    250.617872    249.872437    112.974002
73    73    1520299180484864831    252.410413    250.278824    528.200632
74    74    1520299180490675857    250.849249    250.185043    172.086650
75    75    1520299180492690071    252.492898    249.452301    496.471577
76    76    1520299180494599719    254.202417    249.486053    523.656716
77    77    1520299180501624308    251.667457    248.951996    142.357083
78    78    1520299180503535433    253.331853    248.737122    523.252011
79    79    1520299180510443704    250.978661    248.759216    144.754020
80    80    1520299180512330190    252.620797    249.316681    530.086097
81    81    1520299180514301067    254.177216    248.873535    507.388335
82    82    1520299180523182897    250.383576    248.686401    112.589410
83    83    1520299180525093506    251.948099    248.578903    523.393326
84    84    1520299180530583900    250.817078    250.576065    182.136291
85    85    1520299180532453693    252.375420    251.486145    534.818560
86    86    1520299180534414720    253.849160    251.161621    509.936885
87    87    1520299180541390428    251.645042    251.470352    143.354624
88    88    1520299180543347203    253.088463    251.182007    511.044959
89    89    1520299180550271228    250.990211    251.082642    144.424666
90    90    1520299180552237650    252.394878    250.579712    508.537842
91    91    1520299180554150255    253.821987    250.946152    522.847112
92    92    1520299180563040206    250.438469    250.895004    112.486559
93    93    1520299180564974199    251.819872    250.747910    517.064953
94    94    1520299180570810379    250.581036    248.592468    171.344955
95    95    1520299180572708152    251.957496    248.419678    526.933411
96    96    1520299180574694060    253.262019    248.266235    503.547999
97    97    1520299180581641206    251.314464    248.442413    143.944002
98    98    1520299180583524559    252.658624    248.896423    530.967907
99    99    1520299180590494980    250.750072    248.609329    143.463358
100    100    1520299180592381074    252.065459    249.106796    530.196268
101    101    1520299180594292715    253.352443    249.112778    523.110772
102    102    1520299180603248941    250.268836    248.702179    111.654172
103    103    1520299180605236443    251.484157    248.371643    503.144148
104    104    1520299180610793957    250.535400    250.102676    179.936569
105    105    1520299180612671284    251.793567    250.230637    532.672252
106    106    1520299180614578845    253.022472    250.722168    524.229631
107    107    1520299180621584715    251.225183    250.353561    142.737447
108    108    1520299180623527194    252.410820    249.983536    514.806080
109    109    1520299180630448783    250.708093    250.289062    144.475495
110    110    1520299180632351208    251.895055    250.186798    525.644901
111    111    1520299180634247032    253.075588    250.285843    527.475124
112    112    1520299180643179765    250.283363    250.433090    111.947822
113    113    1520299180645100682    251.428524    250.851395    520.584700
114    114    1520299180650601843    250.593614    251.206512    181.779810
115    115    1520299180652471223    251.747192    251.256653    534.936717
116    116    1520299180654395655    252.861359    251.150208    519.633845
117    117    1520299180661370088    251.235642    251.348663    143.380831
118    118    1520299180663296595    252.329762    251.449600    519.074159
119    119    1520299180670237645    250.759520    251.326614    144.070422
120    120    1520299180672129334    251.853607    251.394455    528.628120
121    121    1520299180674076142    252.910211    251.072647    513.661337
122    122    1520299180682581430    250.565339    253.796387    117.573914
123    123    1520299180684545284    251.595921    253.520111    509.202823
124    124    1520299180690785578    250.453786    248.856903    160.248860
125    125    1520299180692736057    251.474644    248.355667    512.694574
126    126    1520299180694665399    252.498195    248.325394    518.311424
127    127    1520299180701704867    250.973817    247.924988    142.056189
128    128    1520299180703594197    252.001019    248.153717    529.288160
129    129    1520299180710526670    250.561275    248.206558    144.248669
130    130    1520299180712413562    251.573749    248.236115    529.972039
131    131    1520299180714312832    252.572931    248.529388    526.518083
132    132    1520299180723354336    250.158545    245.260910    110.601068
133    133    1520299180725271056    251.134062    245.544754    521.724613
134    134    1520299180730693320    250.462979    250.577942    184.424809
135    135    1520299180732580294    251.438009    250.977325    529.949008
136    136    1520299180734556953    252.364561    250.679626    505.904154
137    137    1520299180741542723    250.976984    251.017532    143.148143
